[    ]   0 {000001A2C5ECBC88} type='Global Undo', name='Original'
[    ]   1 {000001A2C5ECAA08} type='Global Undo', name='Move'
[    ]   2 {000001A2C5ECAB88} type='Global Undo', name='Resize'
[  M ]   3 {000001A2C5ECAC08} type='Global Undo', name='Rotate'
[    ]   4 {000001A2C4476CC8} type='Edit Mesh', name='Toggle Edit Mode'
[    ]   5 {000001A2C44772E8} type='Edit Mesh', name='Select'
[    ]   6 {000001A2C4477208} type='Edit Mesh', name='Box Select'
[    ]   7 {000001A2C44774A8} type='Edit Mesh', name='Move'
[    ]   8 {000001A2C4477668} type='Edit Mesh', name='Box Select'
[    ]   9 {000001A2C4477828} type='Edit Mesh', name='Move'
[    ]  10 {000001A2C44779E8} type='Edit Mesh', name='Box Select'
[    ]  11 {000001A2C4477BA8} type='Edit Mesh', name='Move'
[    ]  12 {000001A2C4477D68} type='Edit Mesh', name='Box Select'
[*   ]  13 {000001A2C5FBC108} type='Edit Mesh', name='Move'
